time,device,source,rssi,tag
2022-10-27 22:19:17.246680+00:00,aysylu phone,bedroom_blinds,-93,basement-david-20221027
2022-10-27 22:19:17.437834+00:00,aysylu phone,basement_beacon,-80,basement-david-20221027
2022-10-27 22:19:17.769513+00:00,david phone,basement_beacon,-66,basement-david-20221027
2022-10-27 22:19:17.776101+00:00,david phone,living_room_blinds,-66,basement-david-20221027
2022-10-27 22:19:18.061573+00:00,david watch,living_room_blinds,-82,basement-david-20221027
2022-10-27 22:19:18.078957+00:00,david watch,basement_beacon,-65,basement-david-20221027
2022-10-27 22:19:19.078955+00:00,aysylu phone,bedroom_blinds,-95,basement-david-20221027
2022-10-27 22:19:19.327426+00:00,aysylu phone,basement_beacon,-81,basement-david-20221027
2022-10-27 22:19:19.686960+00:00,david phone,living_room_blinds,-66,basement-david-20221027
2022-10-27 22:19:22.559169+00:00,aysylu watch,living_room_blinds,-93,basement-david-20221027
2022-10-27 22:19:22.722229+00:00,david phone,basement_pi,-89,basement-david-20221027
2022-10-27 22:19:22.738157+00:00,david watch,basement_pi,-85,basement-david-20221027
2022-10-27 22:19:22.896592+00:00,aysylu phone,basement_pi,-98,basement-david-20221027
2022-10-27 22:19:22.955620+00:00,david phone,basement_pi,-89,basement-david-20221027
2022-10-27 22:19:23.188638+00:00,aysylu watch,basement_pi,-92,basement-david-20221027
2022-10-27 22:19:23.352486+00:00,aysylu watch,basement_pi,-92,basement-david-20221027
2022-10-27 22:19:24.117034+00:00,david watch,living_room_blinds,-83,basement-david-20221027
2022-10-27 22:19:24.127233+00:00,david watch,basement_beacon,-65,basement-david-20221027
2022-10-27 22:19:24.497736+00:00,aysylu watch,bedroom_blinds,-79,basement-david-20221027
2022-10-27 22:19:24.808098+00:00,aysylu watch,living_room_blinds,-88,basement-david-20221027
2022-10-27 22:19:25.730136+00:00,david phone,basement_beacon,-65,basement-david-20221027
2022-10-27 22:19:26.043322+00:00,david watch,living_room_blinds,-83,basement-david-20221027
2022-10-27 22:19:26.046852+00:00,david watch,basement_beacon,-65,basement-david-20221027
2022-10-27 22:19:26.754348+00:00,aysylu watch,living_room_blinds,-91,basement-david-20221027
2022-10-27 22:19:27.368996+00:00,aysylu phone,basement_beacon,-79,basement-david-20221027
2022-10-27 22:19:27.680736+00:00,david phone,living_room_blinds,-68,basement-david-20221027
2022-10-27 22:19:27.685457+00:00,david phone,basement_beacon,-74,basement-david-20221027
2022-10-27 22:19:27.987123+00:00,david watch,living_room_blinds,-81,basement-david-20221027
2022-10-27 22:19:27.989980+00:00,david watch,basement_beacon,-70,basement-david-20221027
2022-10-27 22:19:29.250724+00:00,aysylu phone,basement_beacon,-80,basement-david-20221027
2022-10-27 22:19:29.928801+00:00,david watch,living_room_blinds,-76,basement-david-20221027
2022-10-27 22:19:29.935529+00:00,david phone,basement_beacon,-64,basement-david-20221027
2022-10-27 22:19:29.955968+00:00,david watch,basement_beacon,-65,basement-david-20221027
