time,device,source,rssi,tag
2022-10-27 20:31:26.410849+00:00,david phone,bedroom_blinds,-76,main-floor-david-20221027
2022-10-27 20:31:26.620379+00:00,david watch,living_room_blinds,-70,main-floor-david-20221027
2022-10-27 20:31:27.742276+00:00,david watch,bedroom_blinds,-74,main-floor-david-20221027
2022-10-27 20:31:27.768893+00:00,david watch,basement_beacon,-69,main-floor-david-20221027
2022-10-27 20:31:28.356431+00:00,david phone,bedroom_blinds,-81,main-floor-david-20221027
2022-10-27 20:31:28.358621+00:00,david phone,basement_beacon,-63,main-floor-david-20221027
2022-10-27 20:31:29.179254+00:00,david phone,living_room_blinds,-66,main-floor-david-20221027
2022-10-27 20:31:31.531198+00:00,aysylu phone,bedroom_blinds,-86,main-floor-david-20221027
2022-10-27 20:31:31.535788+00:00,aysylu phone,basement_beacon,-79,main-floor-david-20221027
2022-10-27 20:31:31.542178+00:00,david watch,bedroom_blinds,-74,main-floor-david-20221027
2022-10-27 20:31:31.565647+00:00,david watch,basement_beacon,-68,main-floor-david-20221027
2022-10-27 20:31:32.361633+00:00,aysylu phone,living_room_blinds,-94,main-floor-david-20221027
2022-10-27 20:31:33.112337+00:00,aysylu watch,bedroom_blinds,-86,main-floor-david-20221027
2022-10-27 20:31:33.174894+00:00,aysylu watch,basement_beacon,-74,main-floor-david-20221027
2022-10-27 20:31:33.282566+00:00,david phone,living_room_blinds,-78,main-floor-david-20221027
2022-10-27 20:31:33.494091+00:00,aysylu phone,basement_beacon,-85,main-floor-david-20221027
2022-10-27 20:31:34.608977+00:00,david watch,living_room_blinds,-71,main-floor-david-20221027
2022-10-27 20:31:34.650644+00:00,david phone,basement_pi,-77,main-floor-david-20221027
2022-10-27 20:31:35.042400+00:00,aysylu watch,bedroom_blinds,-79,main-floor-david-20221027
2022-10-27 20:31:35.060492+00:00,aysylu watch,basement_beacon,-77,main-floor-david-20221027
2022-10-27 20:31:35.102572+00:00,aysylu phone,basement_pi,-93,main-floor-david-20221027
2022-10-27 20:31:35.391654+00:00,david watch,basement_pi,-82,main-floor-david-20221027
2022-10-27 20:31:35.671379+00:00,david watch,bedroom_blinds,-82,main-floor-david-20221027
2022-10-27 20:31:36.129728+00:00,aysylu watch,basement_pi,-90,main-floor-david-20221027
2022-10-27 20:31:36.962669+00:00,aysylu watch,basement_beacon,-85,main-floor-david-20221027
2022-10-27 20:31:37.608310+00:00,david watch,bedroom_blinds,-75,main-floor-david-20221027
2022-10-27 20:31:37.671784+00:00,david watch,basement_beacon,-83,main-floor-david-20221027
2022-10-27 20:31:39.210839+00:00,aysylu watch,bedroom_blinds,-85,main-floor-david-20221027
2022-10-27 20:31:39.529427+00:00,david watch,bedroom_blinds,-77,main-floor-david-20221027
2022-10-27 20:31:39.533632+00:00,david watch,basement_beacon,-88,main-floor-david-20221027
