time,device,source,rssi,tag
2022-10-27 21:45:15.589701+00:00,david phone,bedroom_blinds,-65,upstairs-both-20221027
2022-10-27 21:45:15.885400+00:00,aysylu watch,bedroom_blinds,-80,upstairs-both-20221027
2022-10-27 21:45:15.890622+00:00,david watch,bedroom_blinds,-83,upstairs-both-20221027
2022-10-27 21:45:16.668110+00:00,david phone,basement_pi,-75,upstairs-both-20221027
2022-10-27 21:45:16.703673+00:00,david watch,basement_pi,-87,upstairs-both-20221027
2022-10-27 21:45:16.708678+00:00,aysylu watch,basement_pi,-86,upstairs-both-20221027
2022-10-27 21:45:16.910293+00:00,aysylu phone,basement_pi,-77,upstairs-both-20221027
2022-10-27 21:45:17.509464+00:00,david phone,bedroom_blinds,-60,upstairs-both-20221027
2022-10-27 21:45:17.845930+00:00,aysylu watch,bedroom_blinds,-80,upstairs-both-20221027
2022-10-27 21:45:18.116078+00:00,david phone,living_room_blinds,-73,upstairs-both-20221027
2022-10-27 21:45:19.659344+00:00,aysylu phone,living_room_blinds,-90,upstairs-both-20221027
2022-10-27 21:45:19.763611+00:00,aysylu watch,bedroom_blinds,-78,upstairs-both-20221027
2022-10-27 21:45:20.014454+00:00,david watch,basement_beacon,-77,upstairs-both-20221027
2022-10-27 21:45:21.292878+00:00,aysylu phone,basement_beacon,-79,upstairs-both-20221027
2022-10-27 21:45:21.342748+00:00,david phone,bedroom_blinds,-67,upstairs-both-20221027
2022-10-27 21:45:23.249985+00:00,aysylu phone,basement_beacon,-76,upstairs-both-20221027
2022-10-27 21:45:23.554421+00:00,david phone,basement_beacon,-74,upstairs-both-20221027
2022-10-27 21:45:25.497561+00:00,david phone,basement_beacon,-69,upstairs-both-20221027
2022-10-27 21:45:25.819607+00:00,aysylu watch,bedroom_blinds,-82,upstairs-both-20221027
2022-10-27 21:45:27.686682+00:00,david phone,basement_pi,-75,upstairs-both-20221027
2022-10-27 21:45:27.962465+00:00,david phone,living_room_blinds,-78,upstairs-both-20221027
2022-10-27 21:45:27.974873+00:00,aysylu phone,basement_pi,-77,upstairs-both-20221027
2022-10-27 21:45:27.984130+00:00,david watch,basement_pi,-87,upstairs-both-20221027
2022-10-27 21:45:28.264023+00:00,david watch,living_room_blinds,-85,upstairs-both-20221027
2022-10-27 21:45:28.286676+00:00,aysylu watch,basement_pi,-86,upstairs-both-20221027
2022-10-27 21:45:28.453253+00:00,aysylu phone,basement_pi,-77,upstairs-both-20221027
2022-10-27 21:45:29.015117+00:00,aysylu phone,bedroom_blinds,-91,upstairs-both-20221027
2022-10-27 21:45:29.327345+00:00,david phone,bedroom_blinds,-66,upstairs-both-20221027
2022-10-27 21:45:29.691627+00:00,david watch,bedroom_blinds,-79,upstairs-both-20221027
2022-10-27 21:45:31.583350+00:00,david watch,bedroom_blinds,-84,upstairs-both-20221027
2022-10-27 21:45:31.861483+00:00,david watch,basement_beacon,-75,upstairs-both-20221027
2022-10-27 21:45:31.944268+00:00,aysylu watch,bedroom_blinds,-82,upstairs-both-20221027
2022-10-27 21:45:32.154647+00:00,david watch,living_room_blinds,-85,upstairs-both-20221027
2022-10-27 21:45:32.896465+00:00,aysylu phone,bedroom_blinds,-95,upstairs-both-20221027
2022-10-27 21:45:35.121777+00:00,david phone,bedroom_blinds,-64,upstairs-both-20221027
2022-10-27 21:45:37.591242+00:00,aysylu phone,living_room_blinds,-93,upstairs-both-20221027
2022-10-27 21:45:37.594754+00:00,david phone,living_room_blinds,-75,upstairs-both-20221027
2022-10-27 21:45:37.627024+00:00,david watch,basement_beacon,-73,upstairs-both-20221027
2022-10-27 21:45:38.658189+00:00,david phone,basement_pi,-75,upstairs-both-20221027
2022-10-27 21:45:38.715179+00:00,david watch,basement_pi,-87,upstairs-both-20221027
2022-10-27 21:45:38.777297+00:00,aysylu watch,basement_pi,-86,upstairs-both-20221027
2022-10-27 21:45:39.204860+00:00,aysylu phone,basement_pi,-77,upstairs-both-20221027
2022-10-27 21:45:39.225260+00:00,aysylu phone,basement_beacon,-77,upstairs-both-20221027
2022-10-27 21:45:39.929842+00:00,aysylu watch,bedroom_blinds,-85,upstairs-both-20221027
2022-10-27 21:45:40.865504+00:00,david phone,bedroom_blinds,-70,upstairs-both-20221027
2022-10-27 21:45:41.163316+00:00,david phone,basement_beacon,-70,upstairs-both-20221027
2022-10-27 21:45:41.164894+00:00,aysylu phone,basement_beacon,-93,upstairs-both-20221027
2022-10-27 21:45:41.407047+00:00,david phone,living_room_blinds,-94,upstairs-both-20221027
2022-10-27 21:45:41.482013+00:00,david watch,bedroom_blinds,-85,upstairs-both-20221027
2022-10-27 21:45:41.502873+00:00,david watch,basement_beacon,-75,upstairs-both-20221027
2022-10-27 21:45:41.707653+00:00,aysylu phone,living_room_blinds,-90,upstairs-both-20221027
2022-10-27 21:45:42.018980+00:00,david watch,living_room_blinds,-89,upstairs-both-20221027
2022-10-27 21:45:43.412101+00:00,david watch,bedroom_blinds,-79,upstairs-both-20221027
2022-10-27 21:45:43.421417+00:00,david watch,basement_beacon,-73,upstairs-both-20221027
2022-10-27 21:45:44.042231+00:00,aysylu watch,basement_beacon,-82,upstairs-both-20221027
2022-10-27 21:45:45.052910+00:00,aysylu phone,bedroom_blinds,-91,upstairs-both-20221027
2022-10-27 21:45:45.360374+00:00,aysylu phone,basement_beacon,-78,upstairs-both-20221027
2022-10-27 21:45:45.693838+00:00,aysylu watch,bedroom_blinds,-91,upstairs-both-20221027
2022-10-27 21:45:45.979626+00:00,aysylu watch,basement_beacon,-78,upstairs-both-20221027
2022-10-27 21:45:46.937784+00:00,david phone,basement_beacon,-72,upstairs-both-20221027
2022-10-27 21:45:47.310167+00:00,david watch,bedroom_blinds,-73,upstairs-both-20221027
2022-10-27 21:45:47.823225+00:00,david watch,living_room_blinds,-79,upstairs-both-20221027
2022-10-27 21:45:48.837743+00:00,david phone,bedroom_blinds,-69,upstairs-both-20221027
2022-10-27 21:45:49.931692+00:00,david phone,basement_pi,-75,upstairs-both-20221027
2022-10-27 21:45:50.023577+00:00,david watch,basement_pi,-87,upstairs-both-20221027
2022-10-27 21:45:50.113276+00:00,aysylu watch,basement_pi,-86,upstairs-both-20221027
2022-10-27 21:45:50.341533+00:00,aysylu watch,basement_pi,-86,upstairs-both-20221027
2022-10-27 21:45:50.536755+00:00,aysylu phone,basement_pi,-77,upstairs-both-20221027
2022-10-27 21:45:50.787950+00:00,david phone,bedroom_blinds,-60,upstairs-both-20221027
2022-10-27 21:45:51.962692+00:00,david watch,living_room_blinds,-80,upstairs-both-20221027
2022-10-27 21:45:52.018141+00:00,aysylu watch,basement_beacon,-80,upstairs-both-20221027
2022-10-27 21:45:52.738651+00:00,david phone,bedroom_blinds,-66,upstairs-both-20221027
2022-10-27 21:45:53.288018+00:00,david phone,living_room_blinds,-71,upstairs-both-20221027
2022-10-27 21:45:53.348982+00:00,david watch,bedroom_blinds,-82,upstairs-both-20221027
2022-10-27 21:45:53.967128+00:00,aysylu watch,basement_beacon,-80,upstairs-both-20221027
2022-10-27 21:45:54.895539+00:00,david phone,basement_beacon,-79,upstairs-both-20221027
2022-10-27 21:45:55.232591+00:00,aysylu phone,basement_beacon,-77,upstairs-both-20221027
2022-10-27 21:45:55.290631+00:00,david watch,bedroom_blinds,-79,upstairs-both-20221027
2022-10-27 21:45:55.813591+00:00,david watch,living_room_blinds,-84,upstairs-both-20221027
2022-10-27 21:45:56.835053+00:00,david phone,basement_beacon,-71,upstairs-both-20221027
2022-10-27 21:45:57.182103+00:00,david watch,bedroom_blinds,-75,upstairs-both-20221027
2022-10-27 21:45:59.705118+00:00,aysylu phone,living_room_blinds,-95,upstairs-both-20221027
2022-10-27 21:46:00.657308+00:00,david phone,basement_pi,-75,upstairs-both-20221027
2022-10-27 21:46:00.664996+00:00,david phone,basement_beacon,-70,upstairs-both-20221027
2022-10-27 21:46:00.786732+00:00,aysylu phone,basement_pi,-77,upstairs-both-20221027
2022-10-27 21:46:00.791252+00:00,david watch,basement_pi,-87,upstairs-both-20221027
2022-10-27 21:46:01.304390+00:00,aysylu phone,basement_pi,-77,upstairs-both-20221027
2022-10-27 21:46:01.346815+00:00,aysylu phone,basement_beacon,-79,upstairs-both-20221027
2022-10-27 21:46:01.384201+00:00,aysylu watch,basement_pi,-86,upstairs-both-20221027
2022-10-27 21:46:01.958928+00:00,aysylu watch,basement_beacon,-82,upstairs-both-20221027
2022-10-27 21:46:03.185279+00:00,david phone,living_room_blinds,-89,upstairs-both-20221027
2022-10-27 21:46:03.807778+00:00,david watch,living_room_blinds,-85,upstairs-both-20221027
2022-10-27 21:46:04.520264+00:00,david phone,basement_beacon,-77,upstairs-both-20221027
2022-10-27 21:46:05.854672+00:00,aysylu watch,bedroom_blinds,-96,upstairs-both-20221027
2022-10-27 21:46:06.459878+00:00,david phone,basement_beacon,-70,upstairs-both-20221027
2022-10-27 21:46:07.178804+00:00,david watch,bedroom_blinds,-74,upstairs-both-20221027
2022-10-27 21:46:08.301460+00:00,aysylu watch,living_room_blinds,-87,upstairs-both-20221027
2022-10-27 21:46:11.270774+00:00,david watch,bedroom_blinds,-74,upstairs-both-20221027
2022-10-27 21:46:11.649455+00:00,david phone,basement_pi,-75,upstairs-both-20221027
2022-10-27 21:46:11.824042+00:00,aysylu phone,basement_pi,-77,upstairs-both-20221027
2022-10-27 21:46:11.860711+00:00,aysylu watch,basement_pi,-86,upstairs-both-20221027
